"","software","category"
"311","REDCON","Consensus trees, subtrees, supertrees, and distances between trees"
"312","RESTSITE","Distance matrix methods;Computation of distances"
"313","RevDNArates","Maximum likelihood methods"
"314","Rhino","Maximum likelihood methods;Clocks, dating and stratigraphy"
"315","RIND","Comparative method analysis;Description or prediction of data from trees"
"316","Robinson and Foulds distance","Consensus trees, subtrees, supertrees, and distances between trees"
"317","ROSE","Simulation of trees or data"
"318","rRNA phylogeny","Computation of distances;Maximum likelihood methods"
"319","RRTree","Clocks, dating and stratigraphy"
"320","RSTCALC","Computation of distances"
"321","S-DIVA","Biogeographic analysis and host-parasite comparison"
"322","scaleboot","Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"323","SeaView","General-purpose packages;Parsimony programs;Computation of distances;Maximum likelihood methods;Tree-based sequence alignment;Tree plotting/drawing;Sequence management/job submission"
"324","Segminator","Maximum likelihood methods;Tree plotting/drawing;Sequence management/job submission"
"325","SEMPHY","Distance matrix methods;Computation of distances;Maximum likelihood methods"
"326","sendbs","Distance matrix methods;Computation of distances"
"327","Seq-Gen","Simulation of trees or data"
"328","SeqPup","Distance matrix methods;Maximum likelihood methods;Sequence management/job submission"
"329","SeqState","Parsimony programs"
"330","SGRunner","Simulation of trees or data"
"331","SIMMAP","Maximum likelihood methods;Bayesian inference methods;Comparative method analysis;Description or prediction of data from trees"
"332","SimpleClade","Teaching about phylogenies"
"333","SimpleClade Dendroscope","Interactive tree manipulation"
"334","Simplot","Parsimony programs;Maximum likelihood methods;Looking for hybridization or recombination events;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Sequence management/job submission"
"335","Simprot","Simulation of trees or data"
"336","Singapore PHYLIP web interface","Sequence management/job submission"
"337","SLOUCH","Comparative method analysis"
"338","SLR","Maximum likelihood methods"
"339","sog","Parsimony programs;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"340","SPAGeDi CBCAnalyzer","Computation of distances"
"341","Spectronet","Maximum likelihood methods;Looking for hybridization or recombination events;Compatibility analysis"
"342","Spectronet TreeSetViz","Tree plotting/drawing"
"343","Spectrum","Maximum likelihood methods"
"344","SplitsTree","Distance matrix methods;Maximum likelihood methods;Quartets methods"
"345","SSA","Maximum likelihood methods"
"346","START2","Distance matrix methods;Computation of distances;Looking for hybridization or recombination events"
"347","Statio","Distance matrix methods;Model Selection"
"348","STC","Distance matrix methods;Quartets methods"
"349","SuiteMSA","Tree-based sequence alignment;Simulation of trees or data;Tree plotting/drawing;Sequence management/job submission"
"350","Supertree","Consensus trees, subtrees, supertrees, and distances between trees"
"351","SuperTree","Consensus trees, subtrees, supertrees, and distances between trees"
"352","Supertree scripts","Consensus trees, subtrees, supertrees, and distances between trees"
"353","Swaap","Computation of distances"
"354","Swaap PH","Computation of distances"
"355","SWORDS","Distance matrix methods;Computation of distances;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"356","SymmeTREE","Examination of shapes of trees;Clocks, dating and stratigraphy"
"357","SYN-TAX","Distance matrix methods;Computation of distances"
"358","T-Coffee","Tree-based sequence alignment"
"359","T-REX","Computation of distances;Interactive tree manipulation;Looking for hybridization or recombination events;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Tree plotting/drawing"
"360","Tarzan","Biogeographic analysis and host-parasite comparison"
"361","TAXEQ3","Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above).;Consensus trees, subtrees, supertrees, and distances between trees"
"362","TCS","Parsimony programs;Distance matrix methods;Looking for hybridization or recombination events"
"363","TFPGA","Distance matrix methods;Computation of distances"
"364","TIGER","Compatibility analysis"
"365","TIMER","Distance matrix methods;Clocks, dating and stratigraphy"
"366","TipDate","Maximum likelihood methods;Clocks, dating and stratigraphy"
"367","TNT","Parsimony programs"
"368","TOPALi","Looking for hybridization or recombination events;Sequence management/job submission"
"369","TopD/fMts","Consensus trees, subtrees, supertrees, and distances between trees;Gene duplication and genomic analysis"
"370","tracer","Bayesian inference methods;Bootstrapping and other measures of support (for Bayesian support methods see the Bayesian inference list above)."
"371","Tracer","Examination of shapes of trees"
"372","Tree Draw Deck","Tree plotting/drawing"
"373","Tree Tracker","Gene duplication and genomic analysis"
